"Action","Custom label (SKU)","Category ID","Title","UPC","Price","Quantity","Condition ID","Condition Description","Description","Format","Duration","Item photo URL","C:Card Manufacturer","C:Professionally Graded","C:Professional Grader","C:Grade","C:Certification Number","C:Card Condition","C:Sport","C:Player/Athlete","C:Team","C:Card Name","C:Type","C:Parallel/Variety","C:Features","C:League","C:Autographed","C:Card Number","C:Season","C:Single","C:Original/Reprint","C:Year"
Add,CARD-0-241,183435,Mick Foley Topps Chrome Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Mick Foley from the Topps Chrome set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Mick Foley | Set: Topps Chrome | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Topps,No,,,,Near Mint or Better,wrestling,Mick Foley,,,Sports Trading Card,,,,No,,,Yes,Original,
Add,CARD-0-251,183435,Mick Foley Topps Chrome Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Mick Foley from the Topps Chrome set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Mick Foley | Set: Topps Chrome | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Topps,No,,,,Near Mint or Better,wrestling,Mick Foley,,,Sports Trading Card,,,,No,,,Yes,Original,
Add,CARD-0-261,183435,Lex Luger Topps Chrome Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Lex Luger from the Topps Chrome set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Lex Luger | Set: Topps Chrome | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Topps,No,,,,Near Mint or Better,wrestling,Lex Luger,,,Sports Trading Card,,,,No,,,Yes,Original,
Add,CARD-0-271,183435,Lex Luger Topps WWE Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Lex Luger from the Topps WWE set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Lex Luger | Set: Topps WWE | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Topps,No,,,,Near Mint or Better,wrestling,Lex Luger,,,Sports Trading Card,,,WWE,No,,,Yes,Original,
Add,CARD-0-281,183435,Natalya Panini Prizm Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Natalya from the Panini Prizm set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Natalya | Set: Panini Prizm | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Panini,No,,,,Near Mint or Better,wrestling,Natalya,,,Sports Trading Card,,,,No,,,Yes,Original,
Add,CARD-0-291,183435,Natalya 2022 Panini Prizm WWE Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Natalya from the 2022 Panini Prizm WWE set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Natalya | Set: 2022 Panini Prizm WWE | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Panini,No,,,,Near Mint or Better,wrestling,Natalya,,,Sports Trading Card,,,WWE,No,,2022,Yes,Original,2022
Add,CARD-0-301,183435,Lola Vice Topps Chrome Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Lola Vice from the Topps Chrome set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Lola Vice | Set: Topps Chrome | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Topps,No,,,,Near Mint or Better,wrestling,Lola Vice,,,Sports Trading Card,,,,No,,,Yes,Original,
Add,CARD-0-311,183435,Lola Vice Topps Chrome WWE Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Lola Vice from the Topps Chrome WWE set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Lola Vice | Set: Topps Chrome WWE | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Topps,No,,,,Near Mint or Better,wrestling,Lola Vice,,,Sports Trading Card,,,WWE,No,,,Yes,Original,
Add,CARD-0-321,183435,Julia Hart AEW Foundational Outlook Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Julia Hart from the AEW Foundational Outlook set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Julia Hart | Set: AEW Foundational Outlook | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,,No,,,,Near Mint or Better,wrestling,Julia Hart,,,Sports Trading Card,,,AEW,No,,,Yes,Original,
Add,CARD-0-331,183435,Julia Hart 2025 Upper Deck AEW Raw,Does not apply,0,1,4000,Near Mint or Better,<p>Up for sale is a Raw Julia Hart from the 2025 Upper Deck AEW set.</p><p>This card is ungraded and offered in raw condition. Please review the photos and ask any questions before purchase.</p><p>A great addition to any sports or wrestling card collection.</p><p>Shipping: securely packaged with tracking. Combined shipping available.</p><p>Details — Card: Julia Hart | Set: 2025 Upper Deck AEW | Grade: Raw | Quantity: 1.</p>,FixedPrice,GTC,,Upper Deck,No,,,,Near Mint or Better,wrestling,Julia Hart,,,Sports Trading Card,,,AEW,No,,2025,Yes,Original,2025
